iter	Passed	Remaining
878	43437	5979
879	43482	5929
880	43511	5877
881	43560	5827
882	43611	5778
883	43661	5729
884	43710	5679
885	43755	5629
886	43793	5579
887	43847	5530
888	43877	5478
889	43923	5428
890	43965	5378
891	44023	5330
892	44075	5281
893	44122	5231
894	44181	5183
895	44224	5133
896	44273	5083
897	44327	5035
898	44358	4983
899	44408	4934
900	44454	4884
901	44496	4834
902	44542	4784
903	44594	4735
904	44621	4683
905	44649	4632
906	44693	4582
907	44741	4533
908	44784	4483
909	44833	4434
910	44878	4384
911	44928	4335
912	44979	4286
913	45025	4236
914	45073	4187
915	45103	4136
916	45160	4087
917	45214	4038
918	45268	3989
919	45322	3941
920	45374	3892
921	45428	3843
922	45477	3793
923	45526	3744
924	45571	3695
925	45620	3645
926	45669	3596
927	45716	3546
928	45761	3497
929	45811	3448
930	45861	3398
931	45910	3349
932	45953	3300
933	45999	3250
934	46051	3201
935	46107	3152
936	46160	3103
937	46218	3054
938	46277	3006
939	46307	2955
940	46356	2906
941	46403	2857
942	46446	2807
943	46492	2758
944	46542	2708
945	46593	2659
946	46647	2610
947	46704	2561
948	46764	2513
949	46817	2464
950	46876	2415
951	46905	2365
952	46954	2315
953	47011	2266
954	47062	2217
955	47096	2167
956	47127	2117
957	47179	2068
958	47234	2019
959	47282	1970
960	47337	1921
961	47385	1871
962	47437	1822
963	47469	1772
964	47517	1723
965	47571	1674
966	47625	1625
967	47680	1576
968	47738	1527
969	47789	1478
970	47847	1429
971	47904	1379
972	47948	1330
973	48003	1281
974	48054	1232
975	48109	1183
976	48164	1133
977	48215	1084
978	48266	1035
979	48320	986
980	48374	936
981	48427	887
982	48465	838
983	48515	788
984	48563	739
985	48619	690
986	48673	641
987	48729	591
988	48783	542
989	48834	493
990	48865	443
991	48919	394
992	48971	345
993	49024	295
994	49075	246
995	49128	197
996	49159	147
997	49216	98
998	49276	49
999	49327	0
